sent
1	Кстати	0 кстати CONJ Prnt
2	,	0 , PNCT
2	Добрусин	0 Добрусин NOUN masc anim sing nomn
3	планирует	0 планировать VERB impf tran sing actv pres 3per indc
4	провести	0 провести INFN perf tran actv
5	переговоры	0 переговоры NOUN plur accs
6	на	0 на PREP
7	предмет	0 предмет NOUN masc inan sing accs
8	того	0 то ADJF Apro Subx neut sing gent
9	,	0 , PNCT
9	чтобы	0 чтобы CONJ
10	ЗАО	0 ЗАО NOUN neut inan Fixd sing nomn
11	«	0 « PNCT
11	Шестой	0 шестой ADJF Anum masc sing nomn
12	канал	0 канал NOUN masc inan sing nomn
13	(	0 ( PNCT
13	СМИ	0 сми NOUN Fixd sing nomn
14	ТВС	0 ТВС NOUN neut inan Fixd sing nomn
15	)	0 ) PNCT
16	»	0 » PNCT
17	оплачивал	0 оплачивать VERB impf tran masc sing actv past indc
18	трансляцию	0 трансляция NOUN femn inan sing accs
19	своих	0 свой ADJF Apro plur gent
20	программ	0 программа NOUN femn inan plur gent
21	по	0 по PREP
22	Самарской	0 самарский ADJF femn sing datv
23	области	0 область NOUN femn inan sing datv
24	.	0 . PNCT
/sent
sent
24	1	0 1 NUMR
25	генов	0 ген NOUN masc inan plur gent
26	.	0 . PNCT
/sent
sent
26	Статья	0 статья NOUN femn inan sing nomn
27	написана	0 написать PRTS perf femn sing pssv past
28	на	0 на PREP
29	материалах	0 материал NOUN masc inan plur loct
30	исследования	0 исследование NOUN neut inan sing gent
31	,	0 , PNCT
31	проведённого	0 провести PRTF perf tran neut sing gent pssv past
32	в	0 в PREP
33	1999	0 1999 NUMR
34	-	0 - PNCT
34	2000	0 2000 NUMR
35	годах	0 год NOUN masc inan plur loct
36	.	0 . PNCT
/sent
sent
36	Водитель	0 водитель NOUN masc anim sing nomn
37	"	0 " PNCT
37	десятки	0 десятка NOUN femn inan sing gent
38	"	0 " PNCT
39	,	0 , PNCT
40	которую	0 который ADJF Apro femn sing accs
41	преступники	0 преступник NOUN masc anim plur nomn
42	"	0 " PNCT
42	поймали	0 поймать VERB perf tran plur actv past indc
43	"	0 " PNCT
43	у	0 у PREP
44	ВВЦ	0 ВВЦ NOUN masc inan Fixd sing gent
45	,	0 , PNCT
45	оказал	0 оказать VERB perf tran masc sing actv past indc
46	им	0 они ADJF Apro Subx plur 3per datv
47	яростное	0 яростный ADJF neut sing accs inan
48	сопротивление	0 сопротивление NOUN neut inan sing accs
49	,	0 , PNCT
49	за	0 за PREP
50	что	0 что ADJF Apro Subx neut sing accs
51	поплатился	0 поплатиться VERB perf intr masc sing past indc
52	жизнью	0 жизнь NOUN femn inan sing ablt
53	.	0 . PNCT
/sent
sent
53	Нюансы	0 нюанс NOUN masc inan plur nomn
54	послевоенного	0 послевоенный ADJF neut sing gent
55	детства	0 детство NOUN neut inan sing gent
56	.	0 . PNCT
/sent
sent
56	И	0 и CONJ
57	,	0 , PNCT
57	судя	0 судить GRND impf tran actv pres
58	по	0 по PREP
59	всему	0 всё ADJF Apro Subx neut sing datv
60	,	0 , PNCT
60	на	0 на PREP
61	определённые	0 определенный ADJF plur accs inan
62	уступки	0 уступка NOUN femn inan plur accs
63	придётся	0 прийтись VERB perf intr sing futr 3per indc
64	идти	0 идти INFN impf intr actv
65	не	0 не PRCL
66	только	0 только PRCL
67	ЮКОСу	0 Юкос NOUN masc inan sing datv
68	,	0 , PNCT
68	но	0 но CONJ
69	и	0 и CONJ
70	предпринимательскому	0 предпринимательский ADJF neut sing datv
71	сообществу	0 сообщество NOUN neut inan sing datv
72	в	0 в PREP
73	целом	0 целое NOUN neut inan sing loct
74	.	0 . PNCT
/sent
sent
74	Это	0 это ADJF Apro Subx neut sing nomn
75	объясняется	0 объясняться VERB impf intr sing pres 3per indc
76	,	0 , PNCT
76	в	0 в PREP
77	первую	0 первый ADJF Anum femn sing accs
78	очередь	0 очередь NOUN femn inan sing accs
79	,	0 , PNCT
79	структурой	0 структура NOUN femn inan sing ablt
80	нашего	0 наш ADJF Apro masc sing gent
81	экспорта	0 экспорт NOUN masc inan sing gent
82	в	0 в PREP
83	ЛР	0 ЛР NOUN femn inan Fixd sing loct
84	,	0 , PNCT
84	который	0 который ADJF Apro masc sing nomn
85	на	0 на PREP
86	60	0 60 NUMR
87	%	0 % PNCT
87	состоит	0 состоять VERB impf intr actv sing pres 3per indc
88	,	0 , PNCT
88	к	0 к PREP
89	сожалению	0 сожаление NOUN neut inan sing datv
90	,	0 , PNCT
90	из	0 из PREP
91	поставок	0 поставка NOUN femn inan plur gent
92	энергоресурсов	0 энергоресурс NOUN masc inan plur gent
93	(	0 ( PNCT
93	газ	0 газ NOUN masc inan sing nomn
94	,	0 , PNCT
94	нефть	0 нефть NOUN femn inan sing nomn
95	и	0 и CONJ
96	нефтепродукты	0 нефтепродукт NOUN masc inan plur nomn
97	,	0 , PNCT
97	электроэнергия	0 электроэнергия NOUN femn inan sing nomn
98	,	0 , PNCT
98	уголь	0 уголь NOUN masc inan sing nomn
99	)	0 ) PNCT
100	.	0 . PNCT
/sent
sent
101	21	0 21 NUMR
102	.	0 . PNCT
102	00	0 00 NUMR
103	.	0 . PNCT
/sent
sent
103	Отец	0 отец NOUN masc anim sing nomn
104	дочку	0 дочка NOUN femn anim sing accs
105	заре-езал	0 зарезать VERB perf tran masc sing actv past indc
106	свою-ууу	0 свой ADJF Apro femn sing accs
107	...	0 ... PNCT
/sent
sent
107	Этим	0 этот ADJF Apro masc sing ablt
108	летом	0 лето NOUN neut inan sing ablt
109	вместе	0 вместе ADVB
110	с	0 с PREP
111	представителями	0 представитель NOUN masc anim plur ablt
112	профсоюзов	0 профсоюз NOUN masc inan plur gent
113	и	0 и CONJ
114	организации	0 организация NOUN femn inan sing gent
115	"	0 " PNCT
115	ОПОРа	0 ОПОРа NOUN femn inan sing nomn
116	России	0 Россия NOUN femn inan sing gent
117	"	0 " PNCT
117	я	0 я ADJF Apro Subx sing 1per nomn
118	проехал	0 проехать VERB perf tran actv masc sing past indc
119	семь	0 семь NUMR accs
120	российских	0 российский ADJF plur gent
121	регионов	0 регион NOUN masc inan plur gent
122	,	0 , PNCT
122	побывал	0 побывать VERB perf intr actv masc sing past indc
123	в	0 в PREP
124	разных	0 разный ADJF plur loct
125	концах	0 конец NOUN masc inan plur loct
126	страны	0 страна NOUN femn inan sing gent
127	,	0 , PNCT
127	для	0 для PREP
128	того	0 то ADJF Apro Subx neut sing gent
129	чтобы	0 чтобы CONJ
130	посмотреть	0 посмотреть INFN perf tran actv
131	,	0 , PNCT
131	как	0 как ADVB Ques
132	работают	0 работать VERB impf intr actv plur pres 3per indc
133	новые	0 новый ADJF plur nomn
134	законы	0 закон NOUN masc inan plur nomn
135	,	0 , PNCT
135	принятые	0 принять PRTF perf tran plur nomn pssv past
136	в	0 в PREP
137	последние	0 последний ADJF plur accs inan
138	два	0 два NUMR masc accs
139	года	0 год NOUN masc inan sing gent
140	в	0 в PREP
141	части	0 часть NOUN femn inan sing loct
142	регулирования	0 регулирование NOUN neut inan sing gent
143	малого	0 малый ADJF masc sing gent
144	и	0 и CONJ
145	среднего	0 средний ADJF masc sing gent
146	бизнеса	0 бизнес NOUN masc inan sing gent
147	.	0 . PNCT
/sent
sent
147	Умеешь	0 уметь VERB impf intr actv sing pres 2per indc
148	ли	0 ли PRCL
149	резать	0 резать INFN impf tran actv
150	?	0 ? PNCT
/sent
sent
150	Кризис	0 кризис NOUN masc inan sing nomn
151	аудита	0 аудит NOUN masc inan sing gent
152	оказался	0 оказаться VERB perf intr masc sing past indc
153	довольно	0 довольно ADVB
154	обширным	0 обширный ADJF masc sing ablt
155	,	0 , PNCT
155	он	0 он ADJF Apro Subx masc sing 3per nomn
156	порождён	0 породить PRTS perf masc sing pssv past
157	целым	0 целый ADJF masc sing ablt
158	рядом	0 ряд NOUN masc inan sing ablt
159	причин	0 причина NOUN femn inan plur gent
160	.	0 . PNCT
/sent
sent
160	Композиция	0 композиция NOUN femn inan sing nomn
161	из	0 из PREP
162	рододендронов	0 рододендрон NOUN masc inan plur gent
163	,	0 , PNCT
163	вересков	0 вереск NOUN masc inan plur gent
164	,	0 , PNCT
164	эрик	0 эрика NOUN femn inan plur gent
165	и	0 и CONJ
166	армерии	0 армерия NOUN femn inan sing gent
167	привлекает	0 привлекать VERB impf tran sing actv pres 3per indc
168	к	0 к PREP
169	себе	0 себя ADJF Apro Subx datv
170	внимание	0 внимание NOUN neut inan sing accs
171	отдыхающих	0 отдыхать PRTF impf intr actv plur gent pres
172	на	0 на PREP
173	террасе	0 терраса NOUN femn inan sing loct
174	.	0 . PNCT
/sent
sent
174	Стоит	0 стоить VERB impf tran actv sing pres 3per indc
175	ли	0 ли PRCL
176	напоминать	0 напоминать INFN impf tran actv
177	современному	0 современный ADJF masc sing datv
178	читателю	0 читатель NOUN masc anim sing datv
179	,	0 , PNCT
179	что	0 что CONJ
180	Фредди	0 Фредди NOUN masc anim Fixd sing nomn
181	Крюгер	0 Крюгер NOUN masc anim sing nomn
182	--	0 -- PNCT
182	главный	0 главный ADJF masc sing nomn
183	герой	0 герой NOUN masc anim sing nomn
184	аж	0 аж PRCL
185	целой	0 целый ADJF femn sing gent
186	полудюжины	0 полудюжина NOUN femn inan sing gent
187	американских	0 американский ADJF plur gent
188	ужастиков	0 ужастик NOUN masc inan plur gent
189	под	0 под PREP
190	общим	0 общий ADJF neut sing ablt
191	названием	0 название NOUN neut inan sing ablt
192	"	0 " PNCT
192	Кошмар	0 кошмар NOUN masc inan sing nomn
193	на	0 на PREP
194	улице	0 улица NOUN femn inan sing loct
195	вязов	0 вяз NOUN masc inan plur gent
196	"	0 " PNCT
197	,	0 , PNCT
198	помните	0 помнить VERB impf tran plur actv pres 2per indc
199	его	0 его ADJF Apro
200	бугристую	0 бугристый ADJF femn sing accs
201	,	0 , PNCT
201	отвратительную	0 отвратительный ADJF femn sing accs
202	морду	0 морда NOUN femn inan sing accs
203	,	0 , PNCT
203	помните	0 помнить VERB impf tran plur actv pres 2per indc
204	его	0 его ADJF Apro
205	пальцы	0 палец NOUN masc inan plur accs
206	-	0 - PNCT
206	ножи	0 нож NOUN masc inan plur accs
207	?	0 ? PNCT
/sent
sent
207	Между	0 между PREP
208	тем	0 то ADJF Apro Subx neut sing ablt
209	конкуренты	0 конкурент NOUN masc anim plur nomn
210	наступают	0 наступать VERB impf intr actv plur pres 3per indc
211	на	0 на PREP
212	пятки	0 пятка NOUN femn inan plur accs
213	.	0 . PNCT
/sent
sent
213	Вот	0 вот PRCL
214	так	0 так ADVB Ques
215	,	0 , PNCT
215	за	0 за PREP
216	пять	0 пять NUMR accs
217	минут	0 минута NOUN femn inan plur gent
218	до	0 до PREP
219	съёмок	0 съемка NOUN femn inan plur gent
220	,	0 , PNCT
220	родился	0 родиться VERB perf intr masc sing past indc
221	новый	0 новый ADJF masc sing nomn
222	персонаж	0 персонаж NOUN masc anim sing nomn
223	.	0 . PNCT
/sent
sent
223	Однако	0 однако CONJ
224	"	0 " PNCT
224	дело	0 дело NOUN neut inan sing nomn
225	Netscape	0 Netscape UNKN
226	"	0 " PNCT
226	не	0 не PRCL
227	исчезло	0 исчезнуть VERB perf intr actv neut sing past indc
228	бесследно	0 бесследно ADVB
229	,	0 , PNCT
229	в	0 в PREP
230	феврале	0 февраль NOUN masc inan sing loct
231	1998	0 1998 NUMR
232	года	0 год NOUN masc inan sing gent
233	Андриссен	0 Андриссен NOUN masc anim sing nomn
234	,	0 , PNCT
234	который	0 который ADJF Apro masc sing nomn
235	ушёл	0 уйти VERB perf intr actv masc sing past indc
236	из	0 из PREP
237	AOL	0 AOL UNKN
238	в	0 в PREP
239	молодую	0 молодой ADJF femn sing accs
240	компанию	0 компания NOUN femn inan sing accs
241	LoudCloud	0 LoudCloud UNKN
242	,	0 , PNCT
242	ныне	0 ныне ADVB
243	Ops	0 Ops UNKN
244	­	0 ­ PNCT
244	ware	0 ware UNKN
245	,	0 , PNCT
245	открыл	0 открыть VERB perf tran masc sing actv past indc
246	коды	0 код NOUN masc inan plur accs
247	Netscape	0 Netscape UNKN
248	Navigator	0 Navigator UNKN
249	.	0 . PNCT
/sent
sent
249	Резко	0 резко ADVB
250	ослабло	0 ослабнуть VERB perf intr actv neut sing past indc
251	доверие	0 доверие NOUN neut inan sing nomn
252	клиентов	0 клиент NOUN masc anim plur gent
253	к	0 к PREP
254	нашей	0 наш ADJF Apro femn sing datv
255	профессии	0 профессия NOUN femn inan sing datv
256	и	0 и CONJ
257	деятельности	0 деятельность NOUN femn inan sing datv
258	.	0 . PNCT
/sent
sent
258	Следовательно	0 следовательно ADVB
259	,	0 , PNCT
259	при	0 при PREP
260	дискретизации	0 дискретизация NOUN femn inan sing loct
261	сигнала	0 сигнал NOUN masc inan sing gent
262	(	0 ( PNCT
262	1	0 1 NUMR
263	)	0 ) PNCT
263	неизбежны	0 неизбежный ADJS plur
264	неустранимые	0 неустранимый ADJF plur nomn
265	искажения	0 искажение NOUN neut inan plur nomn
266	сигнала	0 сигнал NOUN masc inan sing gent
267	,	0 , PNCT
267	но	0 но CONJ
268	их	0 их ADJF Apro
269	уровень	0 уровень NOUN masc inan sing nomn
270	существенно	0 существенно ADVB
271	зависит	0 зависеть VERB impf intr actv sing pres 3per indc
272	от	0 от PREP
273	значения	0 значение NOUN neut inan sing gent
274	k	0 k UNKN
275	и	0 и CONJ
276	может	0 мочь VERB impf intr actv sing pres 3per indc
277	стать	0 стать INFN perf intr actv
278	пренебрежимо	0 пренебрежимый ADJF neut sing nomn
279	малым	0 малый ADJF masc sing ablt
280	при	0 при PREP
281	достаточно	0 достаточно ADVB
282	большом	0 большой ADJF neut sing loct
283	k	0 k UNKN
284	.	0 . PNCT
/sent
sent
284	Опции	0 опция NOUN femn inan plur nomn
285	расчётного	0 расчетный ADJF masc sing gent
286	модуля	0 модуль NOUN masc inan sing gent
287	позволяют	0 позволять VERB impf tran plur actv pres 3per indc
288	задавать	0 задавать INFN impf tran actv
289	и	0 и CONJ
290	учитывать	0 учитывать INFN impf tran actv
291	различные	0 различный ADJF plur accs inan
292	технологические	0 технологический ADJF plur accs inan
293	ограничения	0 ограничение NOUN neut inan plur accs
294	,	0 , PNCT
294	предъявляемые	0 предъявлять PRTF impf tran plur accs pssv pres
295	ко	0 ко PREP
296	всей	0 весь ADJF Apro femn sing datv
297	карте	0 карта NOUN femn inan sing datv
298	раскроя	0 раскрой NOUN masc inan sing gent
299	,	0 , PNCT
299	которые	0 который ADJF Apro plur nomn
300	зависят	0 зависеть VERB impf intr actv plur pres 3per indc
301	обычно	0 обычно ADVB
302	от	0 от PREP
303	типа	0 тип NOUN masc inan sing gent
304	раскройного	0 раскройный ADJF neut sing gent
305	оборудования	0 оборудование NOUN neut inan sing gent
306	(	0 ( PNCT
306	например	0 например CONJ Prnt
307	,	0 , PNCT
307	ограничения	0 ограничение NOUN neut inan plur nomn
308	на	0 на PREP
309	положение	0 положение NOUN neut inan sing accs
310	резов	0 рез NOUN masc inan plur gent
311	)	0 ) PNCT
312	.	0 . PNCT
/sent
sent
313	Исключение	0 исключение NOUN neut inan sing accs
314	составляют	0 составлять VERB impf tran plur actv pres 3per indc
315	средства	0 средство NOUN neut inan plur nomn
316	по	0 по PREP
317	статье	0 статья NOUN femn inan sing datv
318	"	0 " PNCT
318	заработная	0 заработный ADJF femn sing nomn
319	плата	0 плата NOUN femn inan sing nomn
320	"	0 " PNCT
