sent
1	Во-первых	0 во-первых CONJ Prnt
2	,	0 , PNCT
2	чиновник	0 чиновник NOUN masc anim sing nomn
3	может	0 мочь VERB impf intr actv sing pres 3per indc
4	уйти	0 уйти INFN perf intr actv
5	на	0 на PREP
6	аналогичное	0 аналогичный ADJF neut sing accs inan
7	место	0 место NOUN neut inan sing accs
8	в	0 в PREP
9	родственном	0 родственный ADJF neut sing loct
10	ведомстве	0 ведомство NOUN neut inan sing loct
11	.	0 . PNCT
/sent
sent
11	Построены	0 построить PRTS perf plur pssv past
12	6	0 6 NUMR
13	лечебных	0 лечебный ADJF plur gent
14	корпусов	0 корпус NOUN masc inan plur gent
15	при	0 при PREP
16	центральных	0 центральный ADJF plur loct
17	районных	0 районный ADJF plur loct
18	больницах	0 больница NOUN femn inan plur loct
19	,	0 , PNCT
19	ряд	0 ряд NOUN masc inan sing nomn
20	лечебно-оздоровительных	0 лечебно-оздоровительный ADJF plur gent
21	объектов	0 объект NOUN masc inan plur gent
22	для	0 для PREP
23	ветеранов	0 ветеран NOUN masc anim plur gent
24	и	0 и CONJ
25	детей	0 ребенок NOUN masc anim plur gent
26	,	0 , PNCT
26	11	0 11 NUMR
27	школ	0 школа NOUN femn inan plur gent
28	,	0 , PNCT
28	3	0 3 NUMR
29	Дома	0 дом NOUN masc inan sing gent
30	культуры	0 культура NOUN femn inan sing gent
31	.	0 . PNCT
/sent
sent
31	Психология	0 психология NOUN femn inan sing nomn
32	,	0 , PNCT
32	конечно	0 конечно CONJ Prnt
33	,	0 , PNCT
33	отличается	0 отличаться VERB impf intr sing pres 3per indc
34	,	0 , PNCT
34	но	0 но CONJ
35	это	0 это ADJF Apro Subx neut sing nomn
36	естественный	0 естественный ADJF masc sing nomn
37	момент	0 момент NOUN masc inan sing nomn
38	.	0 . PNCT
/sent
sent
38	Государство	0 государство NOUN neut inan sing nomn
39	,	0 , PNCT
39	как	0 как ADVB Ques
40	известно	0 известно PRED
41	,	0 , PNCT
41	есть	0 быть VERB impf intr actv sing pres 3per indc
42	орудие	0 орудие NOUN neut inan sing nomn
43	классовых	0 классовый ADJF plur gent
44	интересов	0 интерес NOUN masc inan plur gent
45	.	0 . PNCT
/sent
sent
45	Соответственно	0 соответственно ADVB
46	,	0 , PNCT
46	вклад	0 вклад NOUN masc inan sing nomn
47	внутренних	0 внутренний ADJF plur gent
48	факторов	0 фактор NOUN masc inan plur gent
49	,	0 , PNCT
49	и	0 и CONJ
50	прежде	0 прежде PREP
51	всего	0 всё ADJF Apro Subx neut sing gent
52	качество	0 качество NOUN neut inan sing nomn
53	экономической	0 экономический ADJF femn sing gent
54	политики	0 политика NOUN femn inan sing gent
55	,	0 , PNCT
55	в	0 в PREP
56	темпы	0 темп NOUN masc inan plur accs
57	экономического	0 экономический ADJF masc sing gent
58	роста	0 рост NOUN masc inan sing gent
59	в	0 в PREP
60	последние	0 последний ADJF plur accs inan
61	годы	0 год NOUN masc inan plur accs
62	стал	0 стать VERB perf intr actv masc sing past indc
63	отрицательным	0 отрицательный ADJF masc sing ablt
64	"	0 " PNCT
65	.	0 . PNCT
/sent
sent
66	Далее	0 далее ADVB
67	,	0 , PNCT
67	когда	0 когда CONJ
68	речь	0 речь NOUN femn inan sing nomn
69	зашла	0 зайти VERB perf intr actv femn sing past indc
70	о	0 о PREP
71	так	0 так ADVB Ques
72	называемых	0 называть PRTF impf tran plur loct pssv pres
73	коррупционных	0 коррупционный ADJF plur loct
74	сетях	0 сеть NOUN femn inan plur loct
75	в	0 в PREP
76	различных	0 различный ADJF plur loct
77	сферах	0 сфера NOUN femn inan plur loct
78	,	0 , PNCT
78	Сатаров	0 Сатаров NOUN masc anim sing nomn
79	сказал	0 сказать VERB perf tran masc sing actv past indc
80	:	0 : PNCT
81	"	0 " PNCT
82	Я	0 я ADJF Apro Subx sing 1per nomn
83	думаю	0 думать VERB impf intr actv sing pres 1per indc
84	,	0 , PNCT
84	что	0 что CONJ
85	в	0 в PREP
86	Кремле	0 кремль NOUN masc inan sing loct
87	есть	0 быть VERB impf intr actv plur pres 3per indc
88	представители	0 представитель NOUN masc anim plur nomn
89	таких	0 такой ADJF Apro plur gent
90	коррупционных	0 коррупционный ADJF plur gent
91	сетей	0 сеть NOUN femn inan plur gent
92	"	0 " PNCT
93	.	0 . PNCT
/sent
sent
94	Алексей	0 Алексей NOUN masc anim sing nomn
95	Леонидович	0 Леонидович NOUN masc anim sing nomn
96	,	0 , PNCT
96	известная	0 известный ADJF femn sing nomn
97	банкирская	0 банкирский ADJF femn sing nomn
98	истина	0 истина NOUN femn inan sing nomn
99	гласит	0 гласить VERB impf intr actv sing pres 3per indc
100	:	0 : PNCT
101	"	0 " PNCT
102	Деньги	0 деньги NOUN plur nomn
103	любят	0 любить VERB impf tran plur actv pres 3per indc
104	тишину	0 тишина NOUN femn inan sing accs
105	"	0 " PNCT
106	.	0 . PNCT
/sent
sent
107	Фирма	0 фирма NOUN femn inan sing nomn
108	периодически	0 периодически ADVB
109	арестовывает	0 арестовывать VERB impf tran sing actv pres 3per indc
110	то	0 тот ADJF Apro femn sing accs inan
111	или	0 или CONJ
112	иное	0 иной ADJF Apro neut sing accs inan
113	российское	0 российский ADJF neut sing accs inan
114	государственное	0 государственный ADJF neut sing accs inan
115	имущество	0 имущество NOUN neut inan sing accs
116	за	0 за PREP
117	рубежом	0 рубеж NOUN masc inan sing ablt
118	.	0 . PNCT
/sent
sent
118	По	0 по PREP
119	словам	0 слово NOUN neut inan plur datv
120	советника	0 советник NOUN masc anim sing gent
121	президента	0 президент NOUN masc anim sing gent
122	"	0 " PNCT
122	одним	0 один ADJF Apro masc sing ablt
123	из	0 из PREP
124	важнейших	0 важнейший ADJF plur gent
125	факторов	0 фактор NOUN masc inan plur gent
126	экономического	0 экономический ADJF masc sing gent
127	роста	0 рост NOUN masc inan sing gent
128	последних	0 последний ADJF plur gent
129	лет	0 год NOUN masc inan plur gent
130	стали	0 стать VERB perf intr actv plur past indc
131	уникально	0 уникально ADVB
132	благоприятное	0 благоприятный ADJF neut sing nomn
133	состояние	0 состояние NOUN neut inan sing nomn
134	мировой	0 мировой ADJF femn sing gent
135	экономической	0 экономический ADJF femn sing gent
136	конъюнктуры	0 конъюнктура NOUN femn inan sing gent
137	,	0 , PNCT
137	беспрецедентное	0 беспрецедентный ADJF neut sing nomn
138	в	0 в PREP
139	нашей	0 наш ADJF Apro femn sing loct
140	истории	0 история NOUN femn inan sing loct
141	улучшение	0 улучшение NOUN neut inan sing nomn
142	условий	0 условие NOUN neut inan plur gent
143	внешней	0 внешний ADJF femn sing gent
144	торговли	0 торговля NOUN femn inan sing gent
145	,	0 , PNCT
145	которое	0 который ADJF Apro neut sing nomn
146	заключается	0 заключаться VERB impf intr sing pres 3per indc
147	в	0 в PREP
148	одновременном	0 одновременный ADJF neut sing loct
149	повышении	0 повышение NOUN neut inan sing loct
150	экспортных	0 экспортный ADJF plur gent
151	цен	0 цена NOUN femn inan plur gent
152	и	0 и CONJ
153	снижении	0 снижение NOUN neut inan sing loct
154	импортных	0 импортный ADJF plur gent
155	"	0 " PNCT
156	.	0 . PNCT
/sent
sent
157	Почему	0 почему ADVB Ques
158	он	0 он ADJF Apro Subx masc sing 3per nomn
159	хладнокровно	0 хладнокровно ADVB
160	управляет	0 управлять VERB impf intr actv sing pres 3per indc
161	судьбами	0 судьба NOUN femn inan plur ablt
162	своих	0 свой ADJF Apro plur gent
163	подчинённых	0 подчиненный ADJF plur gent
164	,	0 , PNCT
164	не	0 не PRCL
165	выдвигая	0 выдвигать GRND impf tran actv pres
166	закон	0 закон NOUN masc inan sing accs
167	о	0 о PREP
168	защите	0 защита NOUN femn inan sing loct
169	прав	0 право NOUN neut inan plur gent
170	и	0 и CONJ
171	социальных	0 социальный ADJF plur gent
172	гарантий	0 гарантия NOUN femn inan plur gent
173	милиционеров	0 милиционер NOUN masc anim plur gent
174	?	0 ? PNCT
/sent
sent
174	Но	0 но CONJ
175	такой	0 такой ADJF Apro masc sing nomn
176	порядок	0 порядок NOUN masc inan sing nomn
177	ещё	0 еще ADVB
178	и	0 и CONJ
179	контрэффективен	0 контрэффективный ADJS masc sing
180	:	0 : PNCT
180	экономика	0 экономика NOUN femn inan sing nomn
181	,	0 , PNCT
181	в	0 в PREP
182	которой	0 который ADJF Apro femn sing loct
183	основное	0 основной ADJF neut sing nomn
184	налоговое	0 налоговый ADJF neut sing nomn
185	бремя	0 бремя NOUN neut inan sing nomn
186	возложено	0 возложить PRTS perf neut sing pssv past
187	на	0 на PREP
188	капитал	0 капитал NOUN masc inan sing accs
189	и	0 и CONJ
190	труд	0 труд NOUN masc inan sing accs
191	,	0 , PNCT
191	а	0 а CONJ
192	природные	0 природный ADJF plur nomn
193	ресурсы	0 ресурс NOUN masc inan plur nomn
194	почти	0 почти ADVB
195	свободны	0 свободный ADJS plur
196	от	0 от PREP
197	него	0 оно ADJF Apro Subx neut sing 3per gent
198	,	0 , PNCT
198	неминуемо	0 неминуемо ADVB
199	будет	0 быть VERB impf intr actv sing futr 3per indc
200	сползать	0 сползать INFN impf intr actv
201	к	0 к PREP
202	экстенсивному	0 экстенсивный ADJF masc sing datv
203	сценарию	0 сценарий NOUN masc inan sing datv
204	--	0 -- PNCT
204	ограничению	0 ограничение NOUN neut inan sing datv
205	инвестиций	0 инвестиция NOUN femn inan plur gent
206	и	0 и CONJ
207	рабочих	0 рабочий ADJF plur gent
208	мест	0 место NOUN neut inan plur gent
209	и	0 и CONJ
210	хищническому	0 хищнический ADJF neut sing datv
211	природопользованию	0 природопользование NOUN neut inan sing datv
212	.	0 . PNCT
/sent
sent
212	ИНН	0 Инн NOUN masc inan Fixd sing nomn
213	по-прежнему	0 по-прежнему ADVB
214	воспринимается	0 восприниматься VERB impf intr sing pres 3per indc
215	некоторой	0 некоторый ADJF Apro femn sing ablt
216	частью	0 часть NOUN femn inan sing ablt
217	населения	0 население NOUN neut inan sing gent
218	в	0 в PREP
219	штыки	0 штык NOUN masc inan plur accs
220	.	0 . PNCT
/sent
sent
220	Я	0 я ADJF Apro Subx sing 1per nomn
221	бы	0 бы PRCL
222	так	0 так ADVB Ques
223	сказал	0 сказать VERB perf tran masc sing actv past indc
224	:	0 : PNCT
224	я	0 я ADJF Apro Subx sing 1per nomn
225	--	0 -- PNCT
225	включённый	0 включить PRTF perf tran masc sing nomn pssv past
226	наблюдатель	0 наблюдатель NOUN masc anim sing nomn
227	за	0 за PREP
228	политическими	0 политический ADJF plur ablt
229	процессами	0 процесс NOUN masc inan plur ablt
230	в	0 в PREP
231	России	0 Россия NOUN femn inan sing loct
232	.	0 . PNCT
/sent
sent
232	Инвестиционный	0 инвестиционный ADJF masc sing nomn
233	доход	0 доход NOUN masc inan sing nomn
234	,	0 , PNCT
234	который	0 который ADJF Apro masc sing accs inan
235	получает	0 получать VERB impf tran sing actv pres 3per indc
236	частный	0 частный ADJF masc sing nomn
237	фонд	0 фонд NOUN masc inan sing nomn
238	,	0 , PNCT
238	должен	0 должен ADJS masc sing
239	облагаться	0 облагаться INFN impf intr
240	налогом	0 налог NOUN masc inan sing ablt
241	.	0 . PNCT
242	"	0 " PNCT
243	Когда	0 когда CONJ
244	деньги	0 деньги NOUN plur nomn
245	уходят	0 уходить VERB impf intr actv plur pres 3per indc
246	от	0 от PREP
247	работодателя	0 работодатель NOUN masc anim sing gent
248	в	0 в PREP
249	НПФ	0 НПФ NOUN masc inan Fixd sing accs
250	,	0 , PNCT
250	меняется	0 меняться VERB impf intr sing pres 3per indc
251	право	0 право NOUN neut inan sing nomn
252	собственности	0 собственность NOUN femn inan sing gent
253	.	0 . PNCT
/sent
sent
253	Множество	0 множество NOUN neut inan sing nomn
254	рук	0 рука NOUN femn inan plur gent
255	.	0 . PNCT
/sent
sent
255	Как	0 как ADVB Ques
256	будет	0 быть VERB impf intr actv sing futr 3per indc
257	на	0 на PREP
258	этот	0 этот ADJF Apro masc sing accs inan
259	раз	0 раз NOUN masc inan sing accs
260	-	0 - PNCT
260	пока	0 пока ADVB
261	неизвестно	0 неизвестно PRED
262	,	0 , PNCT
262	предварительные	0 предварительный ADJF plur nomn
263	слушания	0 слушание NOUN neut inan plur nomn
264	вопроса	0 вопрос NOUN masc inan sing gent
265	на	0 на PREP
266	думском	0 думский ADJF masc sing loct
267	комитете	0 комитет NOUN masc inan sing loct
268	к	0 к PREP
269	окончательному	0 окончательный ADJF neut sing datv
270	решению	0 решение NOUN neut inan sing datv
271	не	0 не PRCL
272	привели	0 привести VERB perf tran plur actv past indc
273	.	0 . PNCT
/sent
sent
273	Неясно	0 неясно PRED
274	только	0 только PRCL
275	,	0 , PNCT
275	как	0 как ADVB Ques
276	они	0 они ADJF Apro Subx plur 3per nomn
277	будут	0 быть VERB impf intr actv plur futr 3per indc
278	это	0 это ADJF Apro Subx neut sing accs
279	делать	0 делать INFN impf tran actv
280	.	0 . PNCT
/sent
sent
280	часто	0 часто ADVB
281	проходят	0 проходить VERB impf tran plur actv pres 3per indc
282	сообщения	0 сообщение NOUN neut inan plur nomn
283	о	0 о PREP
284	том	0 то ADJF Apro Subx neut sing loct
285	,	0 , PNCT
285	что	0 что CONJ
286	наш	0 наш ADJF Apro masc sing nomn
287	президент	0 президент NOUN masc anim sing nomn
288	обещал	0 обещать VERB perf tran masc sing actv past indc
289	тому-то	0 тот-то ADJF Apro masc sing datv
290	выделить	0 выделить INFN perf tran actv
291	столько-то	0 столько-то NUMR accs
292	денег	0 деньги NOUN plur gent
293	,	0 , PNCT
293	а	0 а CONJ
294	тому-то	0 тот-то ADJF Apro neut sing datv
295	--	0 -- PNCT
295	столько-то	0 столько-то NUMR accs
296	.	0 . PNCT
/sent
sent
296	Не	0 не PRCL
297	только	0 только PRCL
298	уровнем	0 уровень NOUN masc inan sing ablt
299	жизни	0 жизнь NOUN femn inan sing gent
300	,	0 , PNCT
300	но	0 но CONJ
301	и	0 и CONJ
302	кровью	0 кровь NOUN femn inan sing ablt
303	своей	0 свой ADJF Apro femn sing ablt
304	наш	0 наш ADJF Apro masc sing nomn
305	народ	0 народ NOUN masc inan sing nomn
306	платит	0 платить VERB impf tran sing actv pres 3per indc
307	за	0 за PREP
308	то	0 то ADJF Apro Subx neut sing accs
309	,	0 , PNCT
309	что	0 что CONJ
310	в	0 в PREP
311	своё	0 свой ADJF Apro neut sing accs inan
312	время	0 время NOUN neut inan sing accs
313	Б	0 Б UNKN
314	.	0 . PNCT
314	Ельцин	0 Ельцин NOUN masc anim sing nomn
315	совершил	0 совершить VERB perf tran masc sing actv past indc
316	в	0 в PREP
317	отношении	0 отношение NOUN neut inan sing loct
318	Чечни	0 Чечня NOUN femn inan sing gent
319	.	0 . PNCT
/sent
sent
319	Пока	0 пока ADVB
320	итоги	0 итог NOUN masc inan plur accs
321	проверки	0 проверка NOUN femn inan sing gent
322	МНС	0 МНС NOUN masc inan Fixd sing nomn
323	никак	0 никак ADVB Ques
324	не	0 не PRCL
325	комментирует	0 комментировать VERB impf tran sing actv pres 3per indc
326	,	0 , PNCT
326	зато	0 зато CONJ
327	в	0 в PREP
328	ответ	0 ответ NOUN masc inan sing accs
329	до	0 до PREP
330	конца	0 конец NOUN masc inan sing gent
331	года	0 год NOUN masc inan sing gent
332	пообещало	0 пообещать VERB perf tran neut sing actv past indc
333	ввести	0 ввести INFN perf tran actv
334	во	0 во PREP
335	всех	0 весь ADJF Apro plur loct
336	российских	0 российский ADJF plur loct
337	регионах	0 регион NOUN masc inan plur loct
338	специальные	0 специальный ADJF plur accs inan
339	налоговые	0 налоговый ADJF plur accs inan
340	паспорта	0 паспорт NOUN masc inan plur accs
341	.	0 . PNCT
/sent
sent
341	На	0 на PREP
342	неё	0 она ADJF Apro Subx femn sing 3per accs
343	,	0 , PNCT
343	как	0 как CONJ
344	было	0 быть VERB impf intr actv neut sing past indc
345	доказано	0 доказать PRTS perf neut sing pssv past
346	комиссией	0 комиссия NOUN femn inan sing ablt
347	по	0 по PREP
348	импичменту	0 импичмент NOUN masc inan sing datv
349	Ельцину	0 Ельцин NOUN masc anim sing datv
350	,	0 , PNCT
350	ушли	0 уйти VERB perf intr actv plur past indc
351	умопомрачительные	0 умопомрачительный ADJF plur nomn
352	суммы	0 сумма NOUN femn inan plur nomn
353	.	0 . PNCT
/sent
sent
353	В	0 в PREP
354	этом	0 этот ADJF Apro masc sing loct
355	случае	0 случай NOUN masc inan sing loct
356	судья	0 судья NOUN masc anim sing nomn
357	обязан	0 обязать PRTS perf masc sing pssv past
358	удалить	0 удалить INFN perf tran actv
359	присяжных	0 присяжный NOUN masc anim plur gent
360	из	0 из PREP
361	зала	0 зал NOUN masc inan sing gent
362	заседаний	0 заседание NOUN neut inan plur gent
363	и	0 и CONJ
